Email,Firstname,Lastname
Aardvark@mit.edu,Annoymous,Aardvark
Aardwolf@mit.edu,Annoymous,Aardwolf
Albatross@mit.edu,Annoymous,Albatross
Alligator@mit.edu,Annoymous,Alligator
Alpaca@mit.edu,Annoymous,Alpaca
Amphibian@mit.edu,Annoymous,Amphibian
Anaconda@mit.edu,Annoymous,Anaconda
Angelfish@mit.edu,Annoymous,Angelfish
Angelfish @mit.edu,Annoymous,Angelfish 
Anglerfish@mit.edu,Annoymous,Anglerfish
Ant@mit.edu,Annoymous,Ant
Anteater@mit.edu,Annoymous,Anteater
Antelope@mit.edu,Annoymous,Antelope
Antlion@mit.edu,Annoymous,Antlion
Aphid@mit.edu,Annoymous,Aphid
Armadillo@mit.edu,Annoymous,Armadillo
Badger@mit.edu,Annoymous,Badger
Bandicoot@mit.edu,Annoymous,Bandicoot
Barnacle@mit.edu,Annoymous,Barnacle
Barracuda@mit.edu,Annoymous,Barracuda
Basilisk@mit.edu,Annoymous,Basilisk
Bass@mit.edu,Annoymous,Bass
Bat@mit.edu,Annoymous,Bat
Beaver@mit.edu,Annoymous,Beaver
Bedbug@mit.edu,Annoymous,Bedbug
Bee@mit.edu,Annoymous,Bee
Beetle@mit.edu,Annoymous,Beetle
Bison@mit.edu,Annoymous,Bison
Blackbird@mit.edu,Annoymous,Blackbird
Boa@mit.edu,Annoymous,Boa
Boar@mit.edu,Annoymous,Boar
Bobcat@mit.edu,Annoymous,Bobcat
Bobolink@mit.edu,Annoymous,Bobolink
Bonobo@mit.edu,Annoymous,Bonobo
Booby@mit.edu,Annoymous,Booby
Bovid@mit.edu,Annoymous,Bovid
Bull@mit.edu,Annoymous,Bull
Butterfly@mit.edu,Annoymous,Butterfly
Buzzard@mit.edu,Annoymous,Buzzard
Camel@mit.edu,Annoymous,Camel
Canid@mit.edu,Annoymous,Canid
Capybara@mit.edu,Annoymous,Capybara
Cardinal@mit.edu,Annoymous,Cardinal
Caribou@mit.edu,Annoymous,Caribou
Catshark@mit.edu,Annoymous,Catshark
Caterpillar@mit.edu,Annoymous,Caterpillar
Catfish@mit.edu,Annoymous,Catfish
Centipede@mit.edu,Annoymous,Centipede
Cephalopod@mit.edu,Annoymous,Cephalopod
Chameleon@mit.edu,Annoymous,Chameleon
Cheetah@mit.edu,Annoymous,Cheetah
Chickadee@mit.edu,Annoymous,Chickadee
Chimpanzee@mit.edu,Annoymous,Chimpanzee
Chinchilla@mit.edu,Annoymous,Chinchilla
Chipmunk@mit.edu,Annoymous,Chipmunk
Cicada@mit.edu,Annoymous,Cicada
Clam@mit.edu,Annoymous,Clam
Clownfish@mit.edu,Annoymous,Clownfish
Cobra@mit.edu,Annoymous,Cobra
Cockroach@mit.edu,Annoymous,Cockroach
Cod@mit.edu,Annoymous,Cod
Condor@mit.edu,Annoymous,Condor
Constrictor@mit.edu,Annoymous,Constrictor
Coral@mit.edu,Annoymous,Coral
Cougar@mit.edu,Annoymous,Cougar
Cow@mit.edu,Annoymous,Cow
Coyote@mit.edu,Annoymous,Coyote
Coypu@mit.edu,Annoymous,Coypu
Crab@mit.edu,Annoymous,Crab
Crane@mit.edu,Annoymous,Crane
Crawdad@mit.edu,Annoymous,Crawdad
Crayfish@mit.edu,Annoymous,Crayfish
Cricket@mit.edu,Annoymous,Cricket
Crocodile@mit.edu,Annoymous,Crocodile
Crow@mit.edu,Annoymous,Crow
Cuckoo@mit.edu,Annoymous,Cuckoo
Damselfly@mit.edu,Annoymous,Damselfly
Deer@mit.edu,Annoymous,Deer
Dhole@mit.edu,Annoymous,Dhole
Dingo@mit.edu,Annoymous,Dingo
Dodo@mit.edu,Annoymous,Dodo
Dolphin@mit.edu,Annoymous,Dolphin
Dormouse@mit.edu,Annoymous,Dormouse
Dove@mit.edu,Annoymous,Dove
Dragonfly@mit.edu,Annoymous,Dragonfly
Dragon@mit.edu,Annoymous,Dragon
Eagle@mit.edu,Annoymous,Eagle
Earthworm@mit.edu,Annoymous,Earthworm
Earwig@mit.edu,Annoymous,Earwig
Echidna@mit.edu,Annoymous,Echidna
Eel@mit.edu,Annoymous,Eel
Egret@mit.edu,Annoymous,Egret
Elephant@mit.edu,Annoymous,Elephant
Elk@mit.edu,Annoymous,Elk
Emu@mit.edu,Annoymous,Emu
Ermine@mit.edu,Annoymous,Ermine
Falcon@mit.edu,Annoymous,Falcon
Ferret@mit.edu,Annoymous,Ferret
Finch@mit.edu,Annoymous,Finch
Firefly@mit.edu,Annoymous,Firefly
Fish@mit.edu,Annoymous,Fish
Flamingo@mit.edu,Annoymous,Flamingo
Flyingfish@mit.edu,Annoymous,Flyingfish
Fowl@mit.edu,Annoymous,Fowl
Fox@mit.edu,Annoymous,Fox
Frog@mit.edu,Annoymous,Frog
Gamefowl@mit.edu,Annoymous,Gamefowl
Galliform@mit.edu,Annoymous,Galliform
Gazelle@mit.edu,Annoymous,Gazelle
Gecko@mit.edu,Annoymous,Gecko
Gerbil@mit.edu,Annoymous,Gerbil
Gibbon@mit.edu,Annoymous,Gibbon
Giraffe@mit.edu,Annoymous,Giraffe
Goat@mit.edu,Annoymous,Goat
Goldfish@mit.edu,Annoymous,Goldfish
Goose@mit.edu,Annoymous,Goose
Gopher@mit.edu,Annoymous,Gopher
Gorilla@mit.edu,Annoymous,Gorilla
Grasshopper@mit.edu,Annoymous,Grasshopper
Grebe@mit.edu,Annoymous,Grebe
Grouse@mit.edu,Annoymous,Grouse
Guanaco@mit.edu,Annoymous,Guanaco
Gull@mit.edu,Annoymous,Gull
Guppy@mit.edu,Annoymous,Guppy
Haddock@mit.edu,Annoymous,Haddock
Halibut@mit.edu,Annoymous,Halibut
Hamster@mit.edu,Annoymous,Hamster
Hare@mit.edu,Annoymous,Hare
Harrier@mit.edu,Annoymous,Harrier
Hawk@mit.edu,Annoymous,Hawk
Hedgehog@mit.edu,Annoymous,Hedgehog
Heron@mit.edu,Annoymous,Heron
Herring@mit.edu,Annoymous,Herring
Hippopotamus@mit.edu,Annoymous,Hippopotamus
Hookworm@mit.edu,Annoymous,Hookworm
Hornet@mit.edu,Annoymous,Hornet
Hoverfly@mit.edu,Annoymous,Hoverfly
Hyena@mit.edu,Annoymous,Hyena
Ibis@mit.edu,Annoymous,Ibis
Iguana@mit.edu,Annoymous,Iguana
Impala@mit.edu,Annoymous,Impala
Jackal@mit.edu,Annoymous,Jackal
Jaguar@mit.edu,Annoymous,Jaguar
Jay@mit.edu,Annoymous,Jay
Jellyfish@mit.edu,Annoymous,Jellyfish
Junglefowl@mit.edu,Annoymous,Junglefowl
Jacana@mit.edu,Annoymous,Jacana
Kangaroo@mit.edu,Annoymous,Kangaroo
Kingfisher@mit.edu,Annoymous,Kingfisher
Kite@mit.edu,Annoymous,Kite
Kiwi@mit.edu,Annoymous,Kiwi
Koala@mit.edu,Annoymous,Koala
Koi@mit.edu,Annoymous,Koi
Ladybug@mit.edu,Annoymous,Ladybug
Lamprey@mit.edu,Annoymous,Lamprey
Landfowl@mit.edu,Annoymous,Landfowl
Lark@mit.edu,Annoymous,Lark
Leech@mit.edu,Annoymous,Leech
Lemming@mit.edu,Annoymous,Lemming
Lemur@mit.edu,Annoymous,Lemur
Leopard@mit.edu,Annoymous,Leopard
Leopon@mit.edu,Annoymous,Leopon
Limpet@mit.edu,Annoymous,Limpet
Lion@mit.edu,Annoymous,Lion
Lizard@mit.edu,Annoymous,Lizard
Llama@mit.edu,Annoymous,Llama
Lobster@mit.edu,Annoymous,Lobster
Locust@mit.edu,Annoymous,Locust
Loon@mit.edu,Annoymous,Loon
Louse@mit.edu,Annoymous,Louse
Lungfish@mit.edu,Annoymous,Lungfish
Lynx@mit.edu,Annoymous,Lynx
Macaw@mit.edu,Annoymous,Macaw
Mackerel@mit.edu,Annoymous,Mackerel
Magpie@mit.edu,Annoymous,Magpie
Mallard@mit.edu,Annoymous,Mallard
Mammal@mit.edu,Annoymous,Mammal
Manatee@mit.edu,Annoymous,Manatee
Mandrill@mit.edu,Annoymous,Mandrill
Marlin@mit.edu,Annoymous,Marlin
Marmoset@mit.edu,Annoymous,Marmoset
Marmot@mit.edu,Annoymous,Marmot
Marsupial@mit.edu,Annoymous,Marsupial
Marten@mit.edu,Annoymous,Marten
Mastodon@mit.edu,Annoymous,Mastodon
Meadowlark@mit.edu,Annoymous,Meadowlark
Meerkat@mit.edu,Annoymous,Meerkat
Mink@mit.edu,Annoymous,Mink
Minnow@mit.edu,Annoymous,Minnow
Mite@mit.edu,Annoymous,Mite
Mockingbird@mit.edu,Annoymous,Mockingbird
Mole@mit.edu,Annoymous,Mole
Mollusk@mit.edu,Annoymous,Mollusk
Mongoose@mit.edu,Annoymous,Mongoose
Monkey@mit.edu,Annoymous,Monkey
Moose@mit.edu,Annoymous,Moose
Mosquito@mit.edu,Annoymous,Mosquito
Moth@mit.edu,Annoymous,Moth
Mouse@mit.edu,Annoymous,Mouse
Mule@mit.edu,Annoymous,Mule
Muskox@mit.edu,Annoymous,Muskox
Narwhal@mit.edu,Annoymous,Narwhal
Neanderthal@mit.edu,Annoymous,Neanderthal
Needlefish@mit.edu,Annoymous,Needlefish
Newt@mit.edu,Annoymous,Newt
Nighthawk@mit.edu,Annoymous,Nighthawk
Nightingale@mit.edu,Annoymous,Nightingale
Numbat@mit.edu,Annoymous,Numbat
Ocelot@mit.edu,Annoymous,Ocelot
Octopus@mit.edu,Annoymous,Octopus
Olingo@mit.edu,Annoymous,Olingo
Opossum@mit.edu,Annoymous,Opossum
Orangutan@mit.edu,Annoymous,Orangutan
Orca@mit.edu,Annoymous,Orca
Oribi@mit.edu,Annoymous,Oribi
orthrus@mit.edu,Yanlin,Li
